,Feature,Importance
83,percent_new_city_diff_lag1_lag12,0.000596671
105,percent_not_us_citizen_diff_lag1_lag12,0.000592225
84,percent_new_unit_lag12,0.00059001945
82,percent_new_city_lag12,0.0005880981
98,median_age_lag12,0.0005870668
75,percent_commute_less_30_diff_lag1_lag12,0.0005818887
99,median_age_diff_lag1_lag12,0.00058161473
89,income_per_capita_diff_lag1_lag12,0.0005803047
23,median_age,0.0005791213
103,gini_index_diff_lag1_lag12,0.00057859754
100,percent_female_lag12,0.00057708053
119,state_local_perc_diff_lag1_lag12,0.0005766763
91,poverty_rate_diff_lag1_lag12,0.0005702261
74,percent_commute_less_30_lag12,0.0005692127
62,percent_graduate_deg_lag12,0.0005690973
107,percent_buildings_less_10_units_diff_lag1_lag12,0.00056850055
70,percent_less_highschool_lag12,0.0005677865
40,state_local_perc,0.0005663184
101,percent_female_diff_lag1_lag12,0.0005649264
106,percent_buildings_less_10_units_lag12,0.00056063867
93,total_pop_diff_lag1_lag12,0.000553176
90,poverty_rate_lag12,0.0005524321
61,median_building_age_diff_lag1_lag12,0.0005520814
67,percent_associates_diff_lag1_lag12,0.0005508907
112,percent_buildings_50+_units_lag12,0.0005486172
109,percent_buildings_10_19_units_diff_lag1_lag12,0.00054756773
63,percent_graduate_deg_diff_lag1_lag12,0.0005457883
64,percent_bachelors_lag12,0.00054568955
81,percent_commute_90_more_diff_lag1_lag12,0.00054253417
18,income_per_capita,0.0005368087
73,percent_commute_public_transport_diff_lag1_lag12,0.0005336444
71,percent_less_highschool_diff_lag1_lag12,0.000529883
66,percent_associates_lag12,0.00052701676
110,percent_buildings_20_49_units_lag12,0.0005190945
68,percent_highschool_lag12,0.0005128819
76,percent_commute_30_to_59_lag12,0.0005120793
72,percent_commute_public_transport_lag12,0.00051196996
113,percent_buildings_50+_units_diff_lag1_lag12,0.0005114898
102,gini_index_lag12,0.00051016937
20,total_pop,0.00050882803
69,percent_highschool_diff_lag1_lag12,0.0005016963
87,percent_units_owner_occupied_diff_lag1_lag12,0.00049953343
85,percent_new_unit_diff_lag1_lag12,0.0004992117
96,percent_work_from_home_lag12,0.0004909462
24,percent_female,0.00048801443
19,poverty_rate,0.0004849711
65,percent_bachelors_diff_lag1_lag12,0.00046516457
22,percent_work_from_home,0.00045616535
12,percent_commute_60_to_89,0.0004485141
26,percent_not_us_citizen,0.00044701574
25,gini_index,0.000433585
14,percent_new_city,0.00042803917
15,percent_new_unit,0.0004265326
16,percent_units_owner_occupied,0.00042588523
11,percent_commute_30_to_59,0.00041501242
10,percent_buildings_50+_units,0.00041317992
13,percent_commute_90_more,0.0003840406
8,percent_buildings_10_19_units,0.0003730765
9,percent_buildings_20_49_units,0.00035360595
4,percent_less_highschool,0.0003388568
7,percent_buildings_less_10_units,0.00033104466
6,percent_commute_less_30,0.0003238913
5,percent_commute_public_transport,0.00026700873
3,percent_highschool,0.00023708626
2,percent_associates,0.00019918439
1,percent_bachelors,0.00014202429
0,percent_graduate_deg,8.663891e-05
